
executed_tx 100, accessedPercentage 50
executed_tx 22800, accessedPercentage 57
executed_tx 22900, accessedPercentage 57
Predicted: 405227.156250|410294.437500|410803.937500|0.000000, measured: 551789.312500, max txs: 8, ab.prob: 0.125051
executed_tx 23000, accessedPercentage 57
executed_tx 23100, accessedPercentage 57
executed_tx 23200, accessedPercentage 57
executed_tx 23300, accessedPercentage 57
executed_tx 23400, accessedPercentage 57
executed_tx 23500, accessedPercentage 57
executed_tx 23600, accessedPercentage 57
executed_tx 23700, accessedPercentage 57
executed_tx 23800, accessedPercentage 57
executed_tx 23900, accessedPercentage 57
executed_tx 24000, accessedPercentage 57
Predicted: 409025.468750|412045.812500|412558.531250|0.000000, measured: 551510.000000, max txs: 8, ab.prob: 0.125221
executed_tx 24100, accessedPercentage 57
executed_tx 24200, accessedPercentage 57
executed_tx 24300, accessedPercentage 57
executed_tx 24400, accessedPercentage 57
executed_tx 24500, accessedPercentage 57
executed_tx 24600, accessedPercentage 57
executed_tx 24700, accessedPercentage 57
executed_tx 24800, accessedPercentage 57
executed_tx 24900, accessedPercentage 57
executed_tx 25000, accessedPercentage 57
executed_tx 25100, accessedPercentage 57
Predicted: 402319.281250|406279.500000|406593.750000|0.000000, measured: 552210.250000, max txs: 8, ab.prob: 0.123241
executed_tx 25200, accessedPercentage 57
executed_tx 25300, accessedPercentage 57
executed_tx 25400, accessedPercentage 57
executed_tx 25500, accessedPercentage 57
executed_tx 25600, accessedPercentage 58
executed_tx 25700, accessedPercentage 58
executed_tx 25800, accessedPercentage 58
executed_tx 25900, accessedPercentage 58
executed_tx 26000, accessedPercentage 58
executed_tx 26100, accessedPercentage 58
executed_tx 26200, accessedPercentage 58
Predicted: 405085.281250|409809.906250|410282.062500|0.000000, measured: 621218.500000, max txs: 8, ab.prob: 0.109282
executed_tx 26300, accessedPercentage 58
executed_tx 26400, accessedPercentage 58
executed_tx 26500, accessedPercentage 58
executed_tx 26600, accessedPercentage 58
executed_tx 26700, accessedPercentage 58
executed_tx 26800, accessedPercentage 58
executed_tx 26900, accessedPercentage 58
executed_tx 27000, accessedPercentage 58
executed_tx 27100, accessedPercentage 58
executed_tx 27200, accessedPercentage 58
executed_tx 27300, accessedPercentage 58
Predicted: 401789.343750|405001.750000|405801.218750|0.000000, measured: 550575.875000, max txs: 8, ab.prob: 0.121949
executed_tx 27400, accessedPercentage 58
executed_tx 27500, accessedPercentage 58
executed_tx 27600, accessedPercentage 58
executed_tx 27700, accessedPercentage 58
executed_tx 27800, accessedPercentage 58
executed_tx 27900, accessedPercentage 58
executed_tx 28000, accessedPercentage 58
executed_tx 28100, accessedPercentage 58
executed_tx 28200, accessedPercentage 58
executed_tx 28300, accessedPercentage 58
executed_tx 28400, accessedPercentage 58
executed_tx 28500, accessedPercentage 58
Predicted: 403390.531250|407999.656250|408390.437500|0.000000, measured: 548633.062500, max txs: 8, ab.prob: 0.129198
executed_tx 28600, accessedPercentage 58
executed_tx 28700, accessedPercentage 58
executed_tx 28800, accessedPercentage 58
executed_tx 28900, accessedPercentage 59
executed_tx 29000, accessedPercentage 59
executed_tx 29100, accessedPercentage 59
executed_tx 29200, accessedPercentage 59
executed_tx 29300, accessedPercentage 59
executed_tx 29400, accessedPercentage 59
executed_tx 29500, accessedPercentage 59
executed_tx 29600, accessedPercentage 59
Predicted: 409729.656250|412895.531250|413296.156250|0.000000, measured: 556201.000000, max txs: 8, ab.prob: 0.116074
executed_tx 29700, accessedPercentage 59
executed_tx 29800, accessedPercentage 59
executed_tx 29900, accessedPercentage 59
executed_tx 30000, accessedPercentage 59
executed_tx 30100, accessedPercentage 59
executed_tx 30200, accessedPercentage 59
executed_tx 30300, accessedPercentage 59
executed_tx 30400, accessedPercentage 59
executed_tx 30500, accessedPercentage 59
executed_tx 30600, accessedPercentage 59
executed_tx 30700, accessedPercentage 59
Predicted: 396043.093750|399940.968750|400473.250000|0.000000, measured: 622718.187500, max txs: 8, ab.prob: 0.107429
executed_tx 30800, accessedPercentage 59
executed_tx 30900, accessedPercentage 59
executed_tx 31000, accessedPercentage 59
executed_tx 31100, accessedPercentage 59
executed_tx 31200, accessedPercentage 59
executed_tx 31300, accessedPercentage 59
executed_tx 31400, accessedPercentage 59
executed_tx 31500, accessedPercentage 59
executed_tx 31600, accessedPercentage 59
executed_tx 31700, accessedPercentage 59
executed_tx 31800, accessedPercentage 59
Predicted: 405218.937500|409145.187500|409543.031250|0.000000, measured: 553783.375000, max txs: 8, ab.prob: 0.118948
executed_tx 31900, accessedPercentage 59
executed_tx 32000, accessedPercentage 59
executed_tx 32100, accessedPercentage 60
executed_tx 32200, accessedPercentage 60
executed_tx 32300, accessedPercentage 60
executed_tx 32400, accessedPercentage 60
executed_tx 32500, accessedPercentage 60
executed_tx 32600, accessedPercentage 60
executed_tx 32700, accessedPercentage 60
executed_tx 32800, accessedPercentage 60
executed_tx 32900, accessedPercentage 60
Predicted: 411020.906250|414528.343750|415050.593750|0.000000, measured: 552948.437500, max txs: 8, ab.prob: 0.121187
executed_tx 33000, accessedPercentage 60
executed_tx 33100, accessedPercentage 60
executed_tx 33200, accessedPercentage 60
executed_tx 33300, accessedPercentage 60
executed_tx 33400, accessedPercentage 60
executed_tx 33500, accessedPercentage 60
executed_tx 33600, accessedPercentage 60
executed_tx 33700, accessedPercentage 60
executed_tx 33800, accessedPercentage 60
executed_tx 33900, accessedPercentage 60
executed_tx 34000, accessedPercentage 60
executed_tx 34100, accessedPercentage 60
Predicted: 408178.781250|411397.312500|411917.531250|0.000000, measured: 552612.312500, max txs: 8, ab.prob: 0.121471
executed_tx 34200, accessedPercentage 60
executed_tx 34300, accessedPercentage 60
executed_tx 34400, accessedPercentage 60
executed_tx 34500, accessedPercentage 60
executed_tx 34600, accessedPercentage 60
executed_tx 34700, accessedPercentage 60
executed_tx 34800, accessedPercentage 60
executed_tx 34900, accessedPercentage 60
executed_tx 35000, accessedPercentage 60
executed_tx 35100, accessedPercentage 60
executed_tx 35200, accessedPercentage 60
Predicted: 398856.000000|402811.187500|403123.281250|0.000000, measured: 553817.812500, max txs: 8, ab.prob: 0.116316
executed_tx 35300, accessedPercentage 60
executed_tx 35400, accessedPercentage 61
executed_tx 35500, accessedPercentage 61
executed_tx 35600, accessedPercentage 61
executed_tx 35700, accessedPercentage 61
executed_tx 35800, accessedPercentage 61
executed_tx 35900, accessedPercentage 61
executed_tx 36000, accessedPercentage 61
executed_tx 36100, accessedPercentage 61
executed_tx 36200, accessedPercentage 61
executed_tx 36300, accessedPercentage 61
Predicted: 398453.093750|402438.000000|402828.375000|0.000000, measured: 553612.625000, max txs: 8, ab.prob: 0.119776
executed_tx 36400, accessedPercentage 61
executed_tx 36500, accessedPercentage 61
executed_tx 36600, accessedPercentage 61
executed_tx 36700, accessedPercentage 61
executed_tx 36800, accessedPercentage 61
executed_tx 36900, accessedPercentage 61
executed_tx 37000, accessedPercentage 61
executed_tx 37100, accessedPercentage 61
executed_tx 37200, accessedPercentage 61
executed_tx 37300, accessedPercentage 61
executed_tx 37400, accessedPercentage 61
Predicted: 407168.031250|410240.250000|410795.031250|0.000000, measured: 554324.562500, max txs: 8, ab.prob: 0.116311
executed_tx 37500, accessedPercentage 61
executed_tx 37600, accessedPercentage 61
executed_tx 37700, accessedPercentage 61
executed_tx 37800, accessedPercentage 61
executed_tx 37900, accessedPercentage 61
executed_tx 38000, accessedPercentage 61
executed_tx 38100, accessedPercentage 61
executed_tx 38200, accessedPercentage 61
executed_tx 38300, accessedPercentage 61
executed_tx 38400, accessedPercentage 61
executed_tx 38500, accessedPercentage 61
Predicted: 416336.093750|419265.968750|419855.156250|0.000000, measured: 553244.500000, max txs: 8, ab.prob: 0.119874
executed_tx 38600, accessedPercentage 62
executed_tx 38700, accessedPercentage 62
executed_tx 38800, accessedPercentage 62
executed_tx 38900, accessedPercentage 62
executed_tx 39000, accessedPercentage 62
executed_tx 39100, accessedPercentage 62
executed_tx 39200, accessedPercentage 62
executed_tx 39300, accessedPercentage 62
executed_tx 39400, accessedPercentage 62
executed_tx 39500, accessedPercentage 62
executed_tx 39600, accessedPercentage 62
executed_tx 39700, accessedPercentage 62
Predicted: 397423.062500|400613.218750|401069.250000|0.000000, measured: 553348.375000, max txs: 8, ab.prob: 0.115128
executed_tx 39800, accessedPercentage 62
executed_tx 39900, accessedPercentage 62
executed_tx 40000, accessedPercentage 62
executed_tx 40100, accessedPercentage 62
executed_tx 40200, accessedPercentage 62
executed_tx 40300, accessedPercentage 62
executed_tx 40400, accessedPercentage 62
executed_tx 40500, accessedPercentage 62
executed_tx 40600, accessedPercentage 62
executed_tx 40700, accessedPercentage 62
executed_tx 40800, accessedPercentage 62
Predicted: 404661.406250|409432.593750|409796.406250|0.000000, measured: 553477.187500, max txs: 8, ab.prob: 0.115389
executed_tx 40900, accessedPercentage 62
executed_tx 41000, accessedPercentage 62
executed_tx 41100, accessedPercentage 62
executed_tx 41200, accessedPercentage 62
executed_tx 41300, accessedPercentage 62
executed_tx 41400, accessedPercentage 62
executed_tx 41500, accessedPercentage 62
executed_tx 41600, accessedPercentage 62
executed_tx 41700, accessedPercentage 62
executed_tx 41800, accessedPercentage 62
executed_tx 41900, accessedPercentage 63
Predicted: 409945.968750|414304.250000|414858.406250|0.000000, measured: 556949.312500, max txs: 8, ab.prob: 0.113519
executed_tx 42000, accessedPercentage 63
executed_tx 42100, accessedPercentage 63
executed_tx 42200, accessedPercentage 63
executed_tx 42300, accessedPercentage 63
executed_tx 42400, accessedPercentage 63
executed_tx 42500, accessedPercentage 63
executed_tx 42600, accessedPercentage 63
executed_tx 42700, accessedPercentage 63
executed_tx 42800, accessedPercentage 63
executed_tx 42900, accessedPercentage 63
executed_tx 43000, accessedPercentage 63
Predicted: 411983.343750|416073.500000|416514.312500|0.000000, measured: 624175.062500, max txs: 8, ab.prob: 0.102029
executed_tx 43100, accessedPercentage 63
executed_tx 43200, accessedPercentage 63
executed_tx 43300, accessedPercentage 63
executed_tx 43400, accessedPercentage 63
executed_tx 43500, accessedPercentage 63
executed_tx 43600, accessedPercentage 63
executed_tx 43700, accessedPercentage 63
executed_tx 43800, accessedPercentage 63
executed_tx 43900, accessedPercentage 63
executed_tx 44000, accessedPercentage 63
executed_tx 44100, accessedPercentage 63
Predicted: 402322.531250|405618.156250|406138.593750|0.000000, measured: 555360.812500, max txs: 8, ab.prob: 0.116186
executed_tx 44200, accessedPercentage 63
executed_tx 44300, accessedPercentage 63
executed_tx 44400, accessedPercentage 63
executed_tx 44500, accessedPercentage 63
executed_tx 44600, accessedPercentage 63
executed_tx 44700, accessedPercentage 63
executed_tx 44800, accessedPercentage 63
executed_tx 44900, accessedPercentage 63
executed_tx 45000, accessedPercentage 63
executed_tx 45100, accessedPercentage 63
executed_tx 45200, accessedPercentage 64
executed_tx 45300, accessedPercentage 64
Predicted: 406610.093750|410215.031250|410722.937500|0.000000, measured: 622247.062500, max txs: 8, ab.prob: 0.101233
executed_tx 45400, accessedPercentage 64
executed_tx 45500, accessedPercentage 64
executed_tx 45600, accessedPercentage 64
executed_tx 45700, accessedPercentage 64
executed_tx 45800, accessedPercentage 64
executed_tx 45900, accessedPercentage 64
executed_tx 46000, accessedPercentage 64
executed_tx 46100, accessedPercentage 64
executed_tx 46200, accessedPercentage 64
executed_tx 46300, accessedPercentage 64
executed_tx 46400, accessedPercentage 64
Predicted: 397041.906250|400221.062500|400386.406250|0.000000, measured: 542797.000000, max txs: 8, ab.prob: 0.110886
executed_tx 46500, accessedPercentage 64
executed_tx 46600, accessedPercentage 64
executed_tx 46700, accessedPercentage 64
executed_tx 46800, accessedPercentage 64
executed_tx 46900, accessedPercentage 64
executed_tx 47000, accessedPercentage 64
executed_tx 47100, accessedPercentage 64
executed_tx 47200, accessedPercentage 64
executed_tx 47300, accessedPercentage 64
executed_tx 47400, accessedPercentage 64
executed_tx 47500, accessedPercentage 64
Predicted: 412191.906250|414637.093750|415185.593750|0.000000, measured: 556876.875000, max txs: 8, ab.prob: 0.113651
executed_tx 47600, accessedPercentage 64
executed_tx 47700, accessedPercentage 64
executed_tx 47800, accessedPercentage 64
executed_tx 47900, accessedPercentage 64
executed_tx 48000, accessedPercentage 64
executed_tx 48100, accessedPercentage 64
executed_tx 48200, accessedPercentage 64
executed_tx 48300, accessedPercentage 64
executed_tx 48400, accessedPercentage 64
executed_tx 48500, accessedPercentage 65
executed_tx 48600, accessedPercentage 65
Predicted: 411266.031250|414458.000000|414843.437500|0.000000, measured: 556777.812500, max txs: 8, ab.prob: 0.105038
executed_tx 48700, accessedPercentage 65
executed_tx 48800, accessedPercentage 65
executed_tx 48900, accessedPercentage 65
executed_tx 49000, accessedPercentage 65
executed_tx 49100, accessedPercentage 65
executed_tx 49200, accessedPercentage 65
executed_tx 49300, accessedPercentage 65
executed_tx 49400, accessedPercentage 65
executed_tx 49500, accessedPercentage 65
executed_tx 49600, accessedPercentage 65
executed_tx 49700, accessedPercentage 65
executed_tx 49800, accessedPercentage 65
Predicted: 411604.937500|414934.031250|415567.343750|0.000000, measured: 623372.937500, max txs: 8, ab.prob: 0.097101
executed_tx 49900, accessedPercentage 65
executed_tx 50000, accessedPercentage 65
executed_tx 50100, accessedPercentage 65
executed_tx 50200, accessedPercentage 65
executed_tx 50300, accessedPercentage 65
executed_tx 50400, accessedPercentage 65
executed_tx 50500, accessedPercentage 65
executed_tx 50600, accessedPercentage 65
executed_tx 50700, accessedPercentage 65
executed_tx 50800, accessedPercentage 65
executed_tx 50900, accessedPercentage 65
Predicted: 403540.343750|408186.218750|408500.843750|0.000000, measured: 554889.937500, max txs: 8, ab.prob: 0.112377
executed_tx 51000, accessedPercentage 65
executed_tx 51100, accessedPercentage 65
executed_tx 51200, accessedPercentage 65
executed_tx 51300, accessedPercentage 65
executed_tx 51400, accessedPercentage 65
executed_tx 51500, accessedPercentage 65
executed_tx 51600, accessedPercentage 65
executed_tx 51700, accessedPercentage 65
executed_tx 51800, accessedPercentage 65
executed_tx 51900, accessedPercentage 66
executed_tx 52000, accessedPercentage 66
Predicted: 409994.718750|413279.656250|413746.656250|0.000000, measured: 556738.000000, max txs: 8, ab.prob: 0.112768
executed_tx 52100, accessedPercentage 66
executed_tx 52200, accessedPercentage 66
executed_tx 52300, accessedPercentage 66
executed_tx 52400, accessedPercentage 66
executed_tx 52500, accessedPercentage 66
executed_tx 52600, accessedPercentage 66
executed_tx 52700, accessedPercentage 66
executed_tx 52800, accessedPercentage 66
executed_tx 52900, accessedPercentage 66
executed_tx 53000, accessedPercentage 66
executed_tx 53100, accessedPercentage 66
Predicted: 413131.156250|416147.000000|416531.812500|0.000000, measured: 556228.875000, max txs: 8, ab.prob: 0.110343
executed_tx 53200, accessedPercentage 66
executed_tx 53300, accessedPercentage 66
executed_tx 53400, accessedPercentage 66
executed_tx 53500, accessedPercentage 66
executed_tx 53600, accessedPercentage 66
executed_tx 53700, accessedPercentage 66
executed_tx 53800, accessedPercentage 66
executed_tx 53900, accessedPercentage 66
executed_tx 54000, accessedPercentage 66
executed_tx 54100, accessedPercentage 66
executed_tx 54200, accessedPercentage 66
Predicted: 413581.406250|416396.687500|416888.343750|0.000000, measured: 691377.937500, max txs: 8, ab.prob: 0.089453
executed_tx 54300, accessedPercentage 66
executed_tx 54400, accessedPercentage 66
executed_tx 54500, accessedPercentage 66
executed_tx 54600, accessedPercentage 66
executed_tx 54700, accessedPercentage 66
executed_tx 54800, accessedPercentage 66
executed_tx 54900, accessedPercentage 66
executed_tx 55000, accessedPercentage 66
executed_tx 55100, accessedPercentage 66
executed_tx 55200, accessedPercentage 66
executed_tx 55300, accessedPercentage 67
Predicted: 407931.968750|411302.218750|411737.656250|0.000000, measured: 558738.937500, max txs: 8, ab.prob: 0.105503
executed_tx 55400, accessedPercentage 67
executed_tx 55500, accessedPercentage 67
executed_tx 55600, accessedPercentage 67
executed_tx 55700, accessedPercentage 67
executed_tx 55800, accessedPercentage 67
executed_tx 55900, accessedPercentage 67
executed_tx 56000, accessedPercentage 67
executed_tx 56100, accessedPercentage 67
executed_tx 56200, accessedPercentage 67
executed_tx 56300, accessedPercentage 67
executed_tx 56400, accessedPercentage 67
Predicted: 407244.500000|411238.531250|411660.750000|0.000000, measured: 559332.562500, max txs: 8, ab.prob: 0.104595
executed_tx 56500, accessedPercentage 67
executed_tx 56600, accessedPercentage 67
executed_tx 56700, accessedPercentage 67
executed_tx 56800, accessedPercentage 67
executed_tx 56900, accessedPercentage 67
executed_tx 57000, accessedPercentage 67
executed_tx 57100, accessedPercentage 67
executed_tx 57200, accessedPercentage 67
executed_tx 57300, accessedPercentage 67
executed_tx 57400, accessedPercentage 67
executed_tx 57500, accessedPercentage 67
executed_tx 57600, accessedPercentage 67
Predicted: 409643.062500|413631.093750|413894.156250|0.000000, measured: 558652.000000, max txs: 8, ab.prob: 0.107222
executed_tx 57700, accessedPercentage 67
executed_tx 57800, accessedPercentage 67
executed_tx 57900, accessedPercentage 67
executed_tx 58000, accessedPercentage 67
